label;aps
Bark;0.9344498712286544
Bus;0.46123007475126687
Car passing by;0.6038554486602598
Conversation;0.8654745905179094
Firecracker;0.5402607960950566
Fireworks;0.7835946244108959
Helicopter;0.8002601843888805
Motorcycle;0.7040164758997465
Radio;0.8138736034856318
Shout;0.9424662396657731
Silence;0.8391617316612013
Siren;0.7758904310801729
Train wheels squealing;0.8294238902227878
Truck;0.3823058709536263
Vehicle horn, car horn, honking;0.6012851370046896
Wind noise (microphone);0.757515632391952
