label;aps
Domestic animals | pets;0.3247782037494972
Car;0.2474706462862133
Vehicle horn | car horn | honking;0.09038613644693592
Car passing by;0.517256037280683
Truck;0.8578885232464221
Air horn | truck horn;0.011154351164270205
Emergency vehicle;0.5108151921062871
Chainsaw;0.8333593181733974
Accelerating | revving | vroom;0.14511866121226305
Siren;0.05234929938563684
Power tool;0.05517880265001003
Gunshot | gunfire;0.950696381179594
556 gunshots;0.9976817890098252
Brommer Alarm;0.5047754841311349
Brommer;0.7750812738042382
Claxons;0.44832199080447455
Dichtklappende autodeuren;0.4052701611692996
Luide mensen (schreeuwen enz);0.5931354199129887
Motoren;0.16506145260469277
Terrasgeluide (stille mensen);0.45516256944796657
Versterkte muziek;0.010119317603911031
