label;aps
Domestic animals | pets;0.06411585487206999
Car;0.2618786161035521
Vehicle horn | car horn | honking;0.05137546215197328
Car passing by;0.49207484116940253
Truck;0.8434619674810718
Air horn | truck horn;0.014274535815388904
Emergency vehicle;0.43325065335684726
Chainsaw;0.7570031281156074
Accelerating | revving | vroom;0.08475111841721245
Siren;0.039489247951307836
Power tool;0.08421610613180769
Gunshot | gunfire;0.8095159388385536
556 gunshots;0.9176243953435318
Brommer Alarm;0.30647591714070077
Brommer;0.38706175054960157
Claxons;0.09491371341417137
Dichtklappende autodeuren;0.20379330964214237
Luide mensen (schreeuwen enz);0.4067334100917183
Motoren;0.01638881908318469
Terrasgeluide (stille mensen);0.34623752656471063
Versterkte muziek;0.016639844186863494
