label;aps
Domestic animals | pets;0.26927543081359745
Car;0.24542386647128897
Vehicle horn | car horn | honking;0.05340499784924231
Car passing by;0.48475047882943734
Truck;0.8525889284281574
Air horn | truck horn;0.017401547582452985
Emergency vehicle;0.5044046727467044
Chainsaw;0.8485302511863799
Accelerating | revving | vroom;0.1409091962968444
Siren;0.08045993394914691
Power tool;0.07770529421419212
Gunshot | gunfire;0.939094332546102
556 gunshots;0.9938698314563863
Brommer Alarm;0.5536447220265115
Brommer;0.7571158187404873
Claxons;0.3697479701430561
Dichtklappende autodeuren;0.40359717689671315
Luide mensen (schreeuwen enz);0.586364103627588
Motoren;0.1655716874191099
Terrasgeluide (stille mensen);0.48146914694019394
Versterkte muziek;0.016875289871112788
