label;aps
Domestic animals | pets;0.3313296012673086
Car;0.25440658304706426
Vehicle horn | car horn | honking;0.3716656477806491
Car passing by;0.5236592188368949
Truck;0.8492277777091904
Air horn | truck horn;0.04677634927098752
Emergency vehicle;0.5029062634552915
Chainsaw;0.848125438046976
Accelerating | revving | vroom;0.14255849146989752
Siren;0.4977221912341635
Power tool;0.5192613927637569
Gunshot | gunfire;0.9480987141566621
556 gunshots;0.9979804329242408
Brommer Alarm;0.9089575087173564
Brommer;0.9265516461574445
Claxons;0.8459687412015018
Dichtklappende autodeuren;0.8993338439669003
Luide mensen (schreeuwen enz);0.6083940840515006
Motoren;0.3563853370729305
Terrasgeluide (stille mensen);0.46795902569582015
Versterkte muziek;0.020654217652815658
