label;aps
Domestic animals | pets;0.14137759758497764
Car;0.3022763755233191
Vehicle horn | car horn | honking;0.035643415395165995
Car passing by;0.5856689460667575
Truck;0.8790541476602298
Air horn | truck horn;0.007520328012322409
Emergency vehicle;0.5632919213569341
Chainsaw;0.8579478551257967
Accelerating | revving | vroom;0.17412159499610266
Siren;0.08817759929200579
Power tool;0.0795090359978377
Gunshot | gunfire;0.9103010936898499
556 gunshots;0.9419615259101021
Brommer Alarm;0.40680911755508353
Brommer;0.4624193734616701
Claxons;0.1791285976163688
Dichtklappende autodeuren;0.23974227168884893
Luide mensen (schreeuwen enz);0.5440166876401155
Motoren;0.019000002006081915
Terrasgeluide (stille mensen);0.45082976629394506
Versterkte muziek;0.002865359769429537
