label;aps
Domestic animals | pets;0.47525421778001825
Car;0.3621969747116583
Vehicle horn | car horn | honking;0.5207060938534873
Car passing by;0.44862834613676744
Truck;0.4807588536759356
Emergency vehicle;0.7606982198493132
Chainsaw;0.8734205856155932
Accelerating | revving | vroom;0.4244839949867379
Siren;0.2269706692735751
Power tool;0.15529228293187095
Gunshot | gunfire;0.9368277970326558
556 gunshots;0.9914750659124807
Brommer Alarm;0.869985947200877
Brommer;0.8532390598923597
Claxons;0.5367243167191744
Dichtklappende autodeuren;0.4196656293802706
Luide mensen (schreeuwen enz);0.6682838149926381
Motoren;0.3204101542204605
Terrasgeluide (stille mensen);0.5348527701694064
Versterkte muziek;0.09390823260978813
